SST (h),Natural Failures,Hard Capacity Removal (%),Natural Loss (%),Total Loss (%),Final Capacity (%),Throttled Load (%),Dropped Load (%),Operational Nodes,alpha,Method,Scenario
6.183333333333334,42,0.0,40.64953329307121,40.64953329307121,59.35046609321588,0.1415813366355145,0.1397156702561442,58,1.1,Heuristic Pruning (Graceful Drain),29
6.783333333333333,44,0.0,41.26695847924256,41.26695847924256,58.733051598714546,0.14864138808256955,0.13938384707335433,56,1.1,Heuristic Pruning (Graceful Drain),30
4.466666666666667,35,0.0,41.09817166483204,41.09817166483204,58.90182585280178,0.24623520347332822,0.21951465358192743,65,1.1,Heuristic Pruning (Graceful Drain),31
5.066666666666666,44,0.0,40.26114886188658,40.26114886188658,59.73885380060583,0.22940277868202844,0.20112355499292559,56,1.1,Heuristic Pruning (Graceful Drain),32
4.883333333333333,42,0.0,40.117272247919885,40.117272247919885,59.882728804097866,0.20066171403490662,0.18494700485683155,58,1.1,Heuristic Pruning (Graceful Drain),33
5.966666666666667,42,0.0,40.279012226507135,40.279012226507135,59.720983130113645,0.17370972348631183,0.15559103256495152,58,1.1,Heuristic Pruning (Graceful Drain),34
5.75,42,0.0,40.465104812415035,40.465104812415035,59.534894099839605,0.1786637013418474,0.16473332024262421,58,1.1,Heuristic Pruning (Graceful Drain),35
6.05,43,0.0,40.37414897453234,40.37414897453234,59.625840675282426,0.1703669701320966,0.15433614532449613,57,1.1,Heuristic Pruning (Graceful Drain),36
4.016666666666667,39,0.0,40.18647314611819,40.18647314611819,59.813527189472694,0.27243188157224846,0.2409974826235109,61,1.1,Heuristic Pruning (Graceful Drain),37
7.05,43,0.0,40.89851209239624,40.89851209239624,59.10149198215796,0.1340345108209866,0.1300263311991328,57,1.1,Heuristic Pruning (Graceful Drain),38
3.9499999999999997,36,0.0,40.31650322004934,40.31650322004934,59.68349150100817,0.25207775139501387,0.23786997865304374,64,1.1,Heuristic Pruning (Graceful Drain),39
6.166666666666667,41,0.0,40.36401694518392,40.36401694518392,59.63597818066049,0.17549726134517585,0.15573863570361698,59,1.1,Heuristic Pruning (Graceful Drain),40
10.933333333333334,39,0.0,40.55550364267159,40.55550364267159,59.44449016053011,13.26165508056464,6.641033617476874,61,1.1,GAT-SAC (Ours),1
10.716666666666667,37,0.0,40.12136063141038,40.12136063141038,59.878648208188146,13.264092590796695,6.6849450981249765,63,1.1,GAT-SAC (Ours),2
