Drop Fraction,Method,Scenario,SST (h)
0.5,GAT-SAC (Ours),15,13.049999999999999
0.5,GAT-SAC (Ours),16,16.483333333333334
0.5,GAT-SAC (Ours),17,15.25
0.5,GAT-SAC (Ours),18,15.733333333333333
0.5,GAT-SAC (Ours),19,12.983333333333333
0.5,GAT-SAC (Ours),20,13.516666666666666
0.5,DQN Baseline (Discrete),1,0.5333333333333333
0.5,DQN Baseline (Discrete),2,0.55
0.5,DQN Baseline (Discrete),3,0.6
0.5,DQN Baseline (Discrete),4,0.5333333333333333
0.5,DQN Baseline (Discrete),5,0.5833333333333334
0.5,DQN Baseline (Discrete),6,0.6666666666666666
0.5,DQN Baseline (Discrete),7,0.6
0.5,DQN Baseline (Discrete),8,0.6333333333333333
0.5,DQN Baseline (Discrete),9,0.6166666666666667
0.5,DQN Baseline (Discrete),10,0.6166666666666667
0.5,DQN Baseline (Discrete),11,0.6333333333333333
0.5,DQN Baseline (Discrete),12,0.6
0.5,DQN Baseline (Discrete),13,0.6333333333333333
0.5,DQN Baseline (Discrete),14,0.5666666666666667
0.5,DQN Baseline (Discrete),15,0.5833333333333334
0.5,DQN Baseline (Discrete),16,0.6166666666666667
0.5,DQN Baseline (Discrete),17,0.5666666666666667
0.5,DQN Baseline (Discrete),18,0.5666666666666667
0.5,DQN Baseline (Discrete),19,0.5666666666666667
0.5,DQN Baseline (Discrete),20,0.5833333333333334
